File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001WGA	bed narrowPeak	peaks	ENCSR000EMY	DNase-seq	EFO:0000315	cardiac mesoderm	in vitro differentiated cells	embryonic	female	unknown	Homo sapiens							DNA		see document	see document		False	2012-03-06	ENCODE				2							ENCFF001CVF	1523718	John Stamatoyannopoulos, UW	3ca7ebef79534d4a769138162f037ab6		https://www.encodeproject.org/files/ENCFF001WGA/@@download/ENCFF001WGA.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF562JHV	bed narrowPeak	peaks	ENCSR000EMY	DNase-seq	EFO:0000315	cardiac mesoderm	in vitro differentiated cells	embryonic	female	unknown	Homo sapiens							DNA		see document	see document		False	2012-03-06	ENCODE				1							ENCFF017ELF, ENCFF163ZHO	264270	ENCODE Processing Pipeline	fb6bb33556302f2aefe8bb1a4c5e77f7		https://www.encodeproject.org/files/ENCFF562JHV/@@download/ENCFF562JHV.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF071BRM	bed narrowPeak	peaks	ENCSR000EMY	DNase-seq	EFO:0000315	cardiac mesoderm	in vitro differentiated cells	embryonic	female	unknown	Homo sapiens							DNA		see document	see document		False	2012-03-06	ENCODE				2							ENCFF111NUE, ENCFF163ZHO	510829	ENCODE Processing Pipeline	defa8b95ce4db3e66d0d964af676786e		https://www.encodeproject.org/files/ENCFF071BRM/@@download/ENCFF071BRM.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF974KRN	bed narrowPeak	peaks	ENCSR000EMY	DNase-seq	EFO:0000315	cardiac mesoderm	in vitro differentiated cells	embryonic	female	unknown	Homo sapiens							DNA		see document	see document		False	2012-03-06	ENCODE				1							ENCFF649CWV, ENCFF992CZQ	725631	ENCODE Processing Pipeline	c0d0238cf02f4d247908e7567bd1fef6		https://www.encodeproject.org/files/ENCFF974KRN/@@download/ENCFF974KRN.bed.gz	GRCh38			archived	low read depth, low spot score			
ENCFF259DDX	bed narrowPeak	peaks	ENCSR000EMY	DNase-seq	EFO:0000315	cardiac mesoderm	in vitro differentiated cells	embryonic	female	unknown	Homo sapiens							DNA		see document	see document		False	2012-03-06	ENCODE				2							ENCFF022DPR, ENCFF992CZQ	719708	ENCODE Processing Pipeline	de10a249b95349b1f170cd5035a8a967		https://www.encodeproject.org/files/ENCFF259DDX/@@download/ENCFF259DDX.bed.gz	GRCh38			archived	low read depth, low spot score			
ENCFF957HBU	bed narrowPeak	peaks	ENCSR000EMY	DNase-seq	EFO:0000315	cardiac mesoderm	in vitro differentiated cells	embryonic	female	unknown	Homo sapiens							DNA		see document	see document		False	2012-03-06	ENCODE				1							ENCFF123GQB, ENCFF967OQF	760053	ENCODE Processing Pipeline	8bd16ad867ea4b2e3f23d177184be8f5		https://www.encodeproject.org/files/ENCFF957HBU/@@download/ENCFF957HBU.bed.gz	GRCh38			released	low read depth, low spot score			
ENCFF471IVR	bed narrowPeak	peaks	ENCSR000EMY	DNase-seq	EFO:0000315	cardiac mesoderm	in vitro differentiated cells	embryonic	female	unknown	Homo sapiens							DNA		see document	see document		False	2012-03-06	ENCODE				2							ENCFF381XAO, ENCFF967OQF	746553	ENCODE Processing Pipeline	f057a72f9a09bd0c5f58d5d033110c63		https://www.encodeproject.org/files/ENCFF471IVR/@@download/ENCFF471IVR.bed.gz	GRCh38			released	low read depth, low spot score			
ENCFF299BVX	bed narrowPeak	peaks	ENCSR000EMY	DNase-seq	EFO:0000315	cardiac mesoderm	in vitro differentiated cells	embryonic	female	unknown	Homo sapiens							DNA		see document	see document		False	2012-03-06	ENCODE				1							ENCFF390DNP, ENCFF928PKE	757804	ENCODE Processing Pipeline	f0615d6d700ae80c8c52675c46be7ae5		https://www.encodeproject.org/files/ENCFF299BVX/@@download/ENCFF299BVX.bed.gz	hg19			released	low read depth, low spot score			
ENCFF387VLG	bed narrowPeak	peaks	ENCSR000EMY	DNase-seq	EFO:0000315	cardiac mesoderm	in vitro differentiated cells	embryonic	female	unknown	Homo sapiens							DNA		see document	see document		False	2012-03-06	ENCODE				2							ENCFF246BSX, ENCFF390DNP	742904	ENCODE Processing Pipeline	328e7ccccb3cbbe673b6725bd872eb96		https://www.encodeproject.org/files/ENCFF387VLG/@@download/ENCFF387VLG.bed.gz	hg19			released	low read depth, low spot score			
ENCFF001SSH	bed narrowPeak	peaks	ENCSR000EPY	DNase-seq	EFO:0002860	SK-N-MC	immortalized cell line	child	female	14 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1, 2							ENCFF001EGC, ENCFF001EGG	1363321	John Stamatoyannopoulos, UW	234a67adcb9ef3f441ee3ad36b2f7314		https://www.encodeproject.org/files/ENCFF001SSH/@@download/ENCFF001SSH.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF001WSQ	bed narrowPeak	peaks	ENCSR000EPY	DNase-seq	EFO:0002860	SK-N-MC	immortalized cell line	child	female	14 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF001EGC	1716451	John Stamatoyannopoulos, UW	2ecc9191626c34e3e87b3337c580f87f		https://www.encodeproject.org/files/ENCFF001WSQ/@@download/ENCFF001WSQ.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF001WSS	bed narrowPeak	peaks	ENCSR000EPY	DNase-seq	EFO:0002860	SK-N-MC	immortalized cell line	child	female	14 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF001EGG	1783459	John Stamatoyannopoulos, UW	5ec0f63720666db2f6bba1c5c8b36fd6		https://www.encodeproject.org/files/ENCFF001WSS/@@download/ENCFF001WSS.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF631YKG	bed narrowPeak	peaks	ENCSR000EPY	DNase-seq	EFO:0002860	SK-N-MC	immortalized cell line	child	female	14 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF163ZHO, ENCFF555EXS	706785	ENCODE Processing Pipeline	2e9fbf20ec31ab7cfcddce26a6d69cc5		https://www.encodeproject.org/files/ENCFF631YKG/@@download/ENCFF631YKG.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF176ZIC	bed narrowPeak	peaks	ENCSR000EPY	DNase-seq	EFO:0002860	SK-N-MC	immortalized cell line	child	female	14 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF163ZHO, ENCFF228MHU	729028	ENCODE Processing Pipeline	f15e54bc6e10ead318f6c7dc9264d7ab		https://www.encodeproject.org/files/ENCFF176ZIC/@@download/ENCFF176ZIC.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF863EOK	bed narrowPeak	peaks	ENCSR000EPY	DNase-seq	EFO:0002860	SK-N-MC	immortalized cell line	child	female	14 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF913HMB, ENCFF992CZQ	708407	ENCODE Processing Pipeline	4c30a1c9583aae4ceb549e9b3f6f2f74		https://www.encodeproject.org/files/ENCFF863EOK/@@download/ENCFF863EOK.bed.gz	GRCh38			archived	low read depth, low spot score			
ENCFF793GDB	bed narrowPeak	peaks	ENCSR000EPY	DNase-seq	EFO:0002860	SK-N-MC	immortalized cell line	child	female	14 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF295SVK, ENCFF992CZQ	731631	ENCODE Processing Pipeline	ff4757ec586d8458703a141cc7943841		https://www.encodeproject.org/files/ENCFF793GDB/@@download/ENCFF793GDB.bed.gz	GRCh38			archived	low read depth, low spot score			
ENCFF403UUP	bed narrowPeak	peaks	ENCSR000EPY	DNase-seq	EFO:0002860	SK-N-MC	immortalized cell line	child	female	14 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF231OCZ, ENCFF967OQF	737801	ENCODE Processing Pipeline	1ab17b4a8ca1ce11fdced48d7d26cfde		https://www.encodeproject.org/files/ENCFF403UUP/@@download/ENCFF403UUP.bed.gz	GRCh38			released	low read depth, low spot score			
ENCFF728ECA	bed narrowPeak	peaks	ENCSR000EPY	DNase-seq	EFO:0002860	SK-N-MC	immortalized cell line	child	female	14 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF569XBD, ENCFF967OQF	761397	ENCODE Processing Pipeline	1be79a7ae04490489be218bb9577890e		https://www.encodeproject.org/files/ENCFF728ECA/@@download/ENCFF728ECA.bed.gz	GRCh38			released	low read depth, low spot score			
ENCFF175DQN	bed narrowPeak	peaks	ENCSR000EPY	DNase-seq	EFO:0002860	SK-N-MC	immortalized cell line	child	female	14 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF390DNP, ENCFF440KYQ	735146	ENCODE Processing Pipeline	c8b4abe06ecf35e1d1e14c09e5f22795		https://www.encodeproject.org/files/ENCFF175DQN/@@download/ENCFF175DQN.bed.gz	hg19			released	low read depth, low spot score			
ENCFF308PHU	bed narrowPeak	peaks	ENCSR000EPY	DNase-seq	EFO:0002860	SK-N-MC	immortalized cell line	child	female	14 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF390DNP, ENCFF580OVY	758712	ENCODE Processing Pipeline	3d5adb450c8ee71f10b16144b8b510b6		https://www.encodeproject.org/files/ENCFF308PHU/@@download/ENCFF308PHU.bed.gz	hg19			released	low read depth, low spot score			
ENCFF001UVN	bed narrowPeak	peaks	ENCSR000EJO	DNase-seq	EFO:0005904	H7-hESC	stem cell	embryonic	female	unknown	Homo sapiens							DNA		see document	see document		False	2012-03-28	ENCODE												2390786	Gregory Crawford, Duke	b528fcfb1cfe1ff77d794de8ca9b723c		https://www.encodeproject.org/files/ENCFF001UVN/@@download/ENCFF001UVN.bed.gz	hg19			archived		missing derived_from		
ENCFF566EKJ	bed narrowPeak	peaks	ENCSR000EJO	DNase-seq	EFO:0005904	H7-hESC	stem cell	embryonic	female	unknown	Homo sapiens							DNA		see document	see document		False	2012-03-28	ENCODE				1							ENCFF834ZXZ, ENCFF967OQF	4974996	ENCODE Processing Pipeline	f10bb918f67831e25614f27ac4769bcb		https://www.encodeproject.org/files/ENCFF566EKJ/@@download/ENCFF566EKJ.bed.gz	GRCh38			released				
ENCFF418ZNF	bed narrowPeak	peaks	ENCSR000EJO	DNase-seq	EFO:0005904	H7-hESC	stem cell	embryonic	female	unknown	Homo sapiens							DNA		see document	see document		False	2012-03-28	ENCODE				1							ENCFF390DNP, ENCFF441RKE	4961986	ENCODE Processing Pipeline	d9cd6c61ffca710b14b8cc7b5bb7d7ce		https://www.encodeproject.org/files/ENCFF418ZNF/@@download/ENCFF418ZNF.bed.gz	hg19			released				
ENCFF971IBL	bed narrowPeak	peaks	ENCSR873ANE	DNase-seq	UBERON:0002113	kidney	tissue	embryonic	female, male	76 day	Homo sapiens							DNA					False	2017-12-13	ENCODE				1							ENCFF884TCQ, ENCFF967OQF	2072671	ENCODE Processing Pipeline	9d1a85f68c83804cfed8611bb05ad8f1		https://www.encodeproject.org/files/ENCFF971IBL/@@download/ENCFF971IBL.bed.gz	GRCh38			released		experiment not submitted to GEO		
ENCFF109TAE	bed narrowPeak	peaks	ENCSR873ANE	DNase-seq	UBERON:0002113	kidney	tissue	embryonic	female, male	76 day	Homo sapiens							DNA					False	2017-12-13	ENCODE				2							ENCFF084RXG, ENCFF967OQF	2416227	ENCODE Processing Pipeline	eb834ba0c188982a65171e1b6cbb6871		https://www.encodeproject.org/files/ENCFF109TAE/@@download/ENCFF109TAE.bed.gz	GRCh38			released		experiment not submitted to GEO		
ENCFF908XTT	bed narrowPeak	peaks	ENCSR873ANE	DNase-seq	UBERON:0002113	kidney	tissue	embryonic	female, male	76 day	Homo sapiens							DNA					False	2017-12-13	ENCODE				1							ENCFF015ENZ, ENCFF390DNP	2061315	ENCODE Processing Pipeline	2353b0bee23dc9ba29fdfb9071bcc3e3		https://www.encodeproject.org/files/ENCFF908XTT/@@download/ENCFF908XTT.bed.gz	hg19			released		experiment not submitted to GEO		
ENCFF156QXF	bed narrowPeak	peaks	ENCSR873ANE	DNase-seq	UBERON:0002113	kidney	tissue	embryonic	female, male	76 day	Homo sapiens							DNA					False	2017-12-13	ENCODE				2							ENCFF390DNP, ENCFF583ACD	2408077	ENCODE Processing Pipeline	c5d9e69d6d8a714773d30d65b0acf6a0		https://www.encodeproject.org/files/ENCFF156QXF/@@download/ENCFF156QXF.bed.gz	hg19			released		experiment not submitted to GEO		
ENCFF001WTX	bed narrowPeak	peaks	ENCSR000EQK	DNase-seq	CL:0000815	regulatory T cell	primary cell	adult	male	28 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF001EKR	2030370	John Stamatoyannopoulos, UW	7671621929d14c4585c5e0be17529b91		https://www.encodeproject.org/files/ENCFF001WTX/@@download/ENCFF001WTX.bed.gz	hg19			archived				extremely low spot score
ENCFF171LNJ	bed narrowPeak	peaks	ENCSR000EQK	DNase-seq	CL:0000815	regulatory T cell	primary cell	adult	male	28 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF163ZHO, ENCFF321TWD	788211	ENCODE Processing Pipeline	86d33a1f1079c6b8686b836575ab03f6		https://www.encodeproject.org/files/ENCFF171LNJ/@@download/ENCFF171LNJ.bed.gz	hg19			archived				extremely low spot score
ENCFF916FIA	bed narrowPeak	peaks	ENCSR000EQK	DNase-seq	CL:0000815	regulatory T cell	primary cell	adult	male	28 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF298QID, ENCFF992CZQ	794890	ENCODE Processing Pipeline	32224b8a18862a2f52f90f9e9f48de97		https://www.encodeproject.org/files/ENCFF916FIA/@@download/ENCFF916FIA.bed.gz	GRCh38			archived				extremely low spot score
ENCFF204IDS	bed narrowPeak	peaks	ENCSR000EQK	DNase-seq	CL:0000815	regulatory T cell	primary cell	adult	male	28 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF315IYJ, ENCFF967OQF	792849	ENCODE Processing Pipeline	c571122f7ab8a1461dc3781a067065f9		https://www.encodeproject.org/files/ENCFF204IDS/@@download/ENCFF204IDS.bed.gz	GRCh38			released				extremely low spot score
ENCFF676CXR	bed narrowPeak	peaks	ENCSR000EQK	DNase-seq	CL:0000815	regulatory T cell	primary cell	adult	male	28 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF390DNP, ENCFF678HGU	786879	ENCODE Processing Pipeline	085c28d4e92382547e6499db753b2c3c		https://www.encodeproject.org/files/ENCFF676CXR/@@download/ENCFF676CXR.bed.gz	hg19			released				extremely low spot score
ENCFF001UVU	bed narrowPeak	peaks	ENCSR000EJV	DNase-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens							DNA		see document	see document		False	2012-03-28	ENCODE												2057476	Gregory Crawford, Duke	3452441f11aa75a8d5cd5db5ffdbe1b3		https://www.encodeproject.org/files/ENCFF001UVU/@@download/ENCFF001UVU.bed.gz	hg19			archived	low read depth	missing derived_from	insufficient read length	
ENCFF288URL	bed narrowPeak	peaks	ENCSR000EJV	DNase-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens							DNA		see document	see document		False	2012-03-28	ENCODE				1							ENCFF730LDQ, ENCFF967OQF	894984	ENCODE Processing Pipeline	7d33d9e2412aec6d656d33d823edbc25		https://www.encodeproject.org/files/ENCFF288URL/@@download/ENCFF288URL.bed.gz	GRCh38			released	low read depth		insufficient read length	
ENCFF029TLB	bed narrowPeak	peaks	ENCSR000EJV	DNase-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens							DNA		see document	see document		False	2012-03-28	ENCODE				1							ENCFF390DNP, ENCFF604OIM	895112	ENCODE Processing Pipeline	6c184dfe05976c8c0e08cfb8aaff126a		https://www.encodeproject.org/files/ENCFF029TLB/@@download/ENCFF029TLB.bed.gz	hg19			released	low read depth		insufficient read length	
ENCFF001SSI	bed narrowPeak	peaks	ENCSR000EPZ	DNase-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens	all-trans-retinoic acid						DNA		see document	see document		False	2010-12-14	ENCODE				1, 2							ENCFF001EGM, ENCFF001EGR	858345	John Stamatoyannopoulos, UW	4119a16e3f4c4ea5cf13860c74ec84e8		https://www.encodeproject.org/files/ENCFF001SSI/@@download/ENCFF001SSI.bed.gz	hg19			archived	low read depth		insufficient read length	
ENCFF001WCI	bed narrowPeak	peaks	ENCSR000EPZ	DNase-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens	all-trans-retinoic acid						DNA		see document	see document		False	2010-12-14	ENCODE				1		36					ENCFF001CEY	1761266	John Stamatoyannopoulos, UW	08a0511179e764dc77ad4a36292e20b5		https://www.encodeproject.org/files/ENCFF001WCI/@@download/ENCFF001WCI.bed.gz	hg19			archived	low read depth		insufficient read length	
ENCFF001WSW	bed narrowPeak	peaks	ENCSR000EPZ	DNase-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens	all-trans-retinoic acid						DNA		see document	see document		False	2010-12-14	ENCODE				2							ENCFF001EGR	1335410	John Stamatoyannopoulos, UW	0a0b7cb84ee0b9d7ffb269e016746839		https://www.encodeproject.org/files/ENCFF001WSW/@@download/ENCFF001WSW.bed.gz	hg19			archived	low read depth		insufficient read length	
ENCFF001WSU	bed narrowPeak	peaks	ENCSR000EPZ	DNase-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens	all-trans-retinoic acid						DNA		see document	see document		False	2010-12-14	ENCODE				1							ENCFF001EGM	1033563	John Stamatoyannopoulos, UW	f054e4b5428818b3e547560172f6c9f0		https://www.encodeproject.org/files/ENCFF001WSU/@@download/ENCFF001WSU.bed.gz	hg19			archived	low read depth		insufficient read length	
ENCFF527MZY	bed narrowPeak	peaks	ENCSR000EPZ	DNase-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens	all-trans-retinoic acid						DNA		see document	see document		False	2010-12-14	ENCODE				1							ENCFF127SLN, ENCFF992CZQ	1553470	ENCODE Processing Pipeline	c0b0eeed94951be0191ddd3f252baf98		https://www.encodeproject.org/files/ENCFF527MZY/@@download/ENCFF527MZY.bed.gz	GRCh38			archived	low read depth		insufficient read length	
ENCFF722COO	bed narrowPeak	peaks	ENCSR000EPZ	DNase-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens	all-trans-retinoic acid						DNA		see document	see document		False	2010-12-14	ENCODE				2							ENCFF738JMU, ENCFF992CZQ	719194	ENCODE Processing Pipeline	4b22af188518a1706d69b0908f95532c		https://www.encodeproject.org/files/ENCFF722COO/@@download/ENCFF722COO.bed.gz	GRCh38			archived	low read depth		insufficient read length	
ENCFF268LES	bed narrowPeak	peaks	ENCSR000EPZ	DNase-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens	all-trans-retinoic acid						DNA		see document	see document		False	2010-12-14	ENCODE				1							ENCFF823HSL, ENCFF967OQF	1619770	ENCODE Processing Pipeline	e47e02e393c59d86d2e5b2189ed7a734		https://www.encodeproject.org/files/ENCFF268LES/@@download/ENCFF268LES.bed.gz	GRCh38			released	low read depth		insufficient read length	
ENCFF270DVS	bed narrowPeak	peaks	ENCSR000EPZ	DNase-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens	all-trans-retinoic acid						DNA		see document	see document		False	2010-12-14	ENCODE				2							ENCFF206IPN, ENCFF967OQF	746099	ENCODE Processing Pipeline	e79f77d6b60a859865993fc1e20357e0		https://www.encodeproject.org/files/ENCFF270DVS/@@download/ENCFF270DVS.bed.gz	GRCh38			released	low read depth		insufficient read length	
ENCFF204NZF	bed narrowPeak	peaks	ENCSR000EPZ	DNase-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens	all-trans-retinoic acid						DNA		see document	see document		False	2010-12-14	ENCODE				1							ENCFF318NIH, ENCFF390DNP	1614474	ENCODE Processing Pipeline	68b432d9ad9fec714c6960653549f34d		https://www.encodeproject.org/files/ENCFF204NZF/@@download/ENCFF204NZF.bed.gz	hg19			released	low read depth		insufficient read length	
ENCFF735ZMN	bed narrowPeak	peaks	ENCSR000EPZ	DNase-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens	all-trans-retinoic acid						DNA		see document	see document		False	2010-12-14	ENCODE				2							ENCFF390DNP, ENCFF862WRG	743354	ENCODE Processing Pipeline	1ff59eab02fdf6c59edee762016d43e2		https://www.encodeproject.org/files/ENCFF735ZMN/@@download/ENCFF735ZMN.bed.gz	hg19			released	low read depth		insufficient read length	
ENCFF001WPJ	bed narrowPeak	peaks	ENCSR000EPF	DNase-seq	EFO:0005726	LNCaP clone FGC	immortalized cell line	adult	male	50 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF001DWG	2108693	John Stamatoyannopoulos, UW	2bd10f8aa2bc1533c9cbaaf7f2a5c955		https://www.encodeproject.org/files/ENCFF001WPJ/@@download/ENCFF001WPJ.bed.gz	hg19			archived	low read depth			
ENCFF001WPK	bed narrowPeak	peaks	ENCSR000EPF	DNase-seq	EFO:0005726	LNCaP clone FGC	immortalized cell line	adult	male	50 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF001DWH	2264859	John Stamatoyannopoulos, UW	79ec355637e3e50a816bd50865bd0ff9		https://www.encodeproject.org/files/ENCFF001WPK/@@download/ENCFF001WPK.bed.gz	hg19			archived	low read depth			
ENCFF714FMZ	bed narrowPeak	peaks	ENCSR000EPF	DNase-seq	EFO:0005726	LNCaP clone FGC	immortalized cell line	adult	male	50 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF163ZHO, ENCFF496ABJ	1279111	ENCODE Processing Pipeline	b93932f8d538a391187bfdb8126808a0		https://www.encodeproject.org/files/ENCFF714FMZ/@@download/ENCFF714FMZ.bed.gz	hg19			archived	low read depth			
ENCFF623WRW	bed narrowPeak	peaks	ENCSR000EPF	DNase-seq	EFO:0005726	LNCaP clone FGC	immortalized cell line	adult	male	50 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF045GDE, ENCFF163ZHO	1384424	ENCODE Processing Pipeline	4f83d04f41954e358efca397a1cbe228		https://www.encodeproject.org/files/ENCFF623WRW/@@download/ENCFF623WRW.bed.gz	hg19			archived	low read depth			
ENCFF280NXX	bed narrowPeak	peaks	ENCSR000EPF	DNase-seq	EFO:0005726	LNCaP clone FGC	immortalized cell line	adult	male	50 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF154AQH, ENCFF992CZQ	1284322	ENCODE Processing Pipeline	0fe8d5deaa2015ef7e8167998502d8f0		https://www.encodeproject.org/files/ENCFF280NXX/@@download/ENCFF280NXX.bed.gz	GRCh38			archived	low read depth			
ENCFF175ZTE	bed narrowPeak	peaks	ENCSR000EPF	DNase-seq	EFO:0005726	LNCaP clone FGC	immortalized cell line	adult	male	50 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF437GYX, ENCFF992CZQ	1390114	ENCODE Processing Pipeline	40a97e351b6721d256e73361ff85011d		https://www.encodeproject.org/files/ENCFF175ZTE/@@download/ENCFF175ZTE.bed.gz	GRCh38			archived	low read depth			
ENCFF572CUO	bed narrowPeak	peaks	ENCSR000EPF	DNase-seq	EFO:0005726	LNCaP clone FGC	immortalized cell line	adult	male	50 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF381SPW, ENCFF967OQF	1339008	ENCODE Processing Pipeline	e687818e34b90b35d134c9a4c912efab		https://www.encodeproject.org/files/ENCFF572CUO/@@download/ENCFF572CUO.bed.gz	GRCh38			released	low read depth			
ENCFF336QIN	bed narrowPeak	peaks	ENCSR000EPF	DNase-seq	EFO:0005726	LNCaP clone FGC	immortalized cell line	adult	male	50 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF315GZT, ENCFF967OQF	1448900	ENCODE Processing Pipeline	90f7490974f6dc4216ca6b611e42527c		https://www.encodeproject.org/files/ENCFF336QIN/@@download/ENCFF336QIN.bed.gz	GRCh38			released	low read depth			
ENCFF327DTG	bed narrowPeak	peaks	ENCSR000EPF	DNase-seq	EFO:0005726	LNCaP clone FGC	immortalized cell line	adult	male	50 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF002PZG, ENCFF390DNP	1334095	ENCODE Processing Pipeline	1d97d09a39228552039894ce57d5a41a		https://www.encodeproject.org/files/ENCFF327DTG/@@download/ENCFF327DTG.bed.gz	hg19			released	low read depth			
ENCFF832IYD	bed narrowPeak	peaks	ENCSR000EPF	DNase-seq	EFO:0005726	LNCaP clone FGC	immortalized cell line	adult	male	50 year	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF016VTV, ENCFF390DNP	1444673	ENCODE Processing Pipeline	f4fd002e6a5ac204ef3d404ce4f30f7b		https://www.encodeproject.org/files/ENCFF832IYD/@@download/ENCFF832IYD.bed.gz	hg19			released	low read depth			
ENCFF001SQT	bed narrowPeak	peaks	ENCSR000ENL	DNase-seq	CL:0000706	choroid plexus epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-14	ENCODE				1, 2							ENCFF001DBI, ENCFF001DBL	1996895	John Stamatoyannopoulos, UW	0091a96444ddce2dfceeff2326340ff8		https://www.encodeproject.org/files/ENCFF001SQT/@@download/ENCFF001SQT.bed.gz	hg19			archived	low read depth			
ENCFF001VZS	bed narrowPeak	peaks	ENCSR000ENL	DNase-seq	CL:0000706	choroid plexus epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-14	ENCODE				1							ENCFF001BDE	3487492	John Stamatoyannopoulos, UW	f68d1b8295471bf1bbe2d3fe6c469826		https://www.encodeproject.org/files/ENCFF001VZS/@@download/ENCFF001VZS.bed.gz	hg19			archived	low read depth			
ENCFF001WIG	bed narrowPeak	peaks	ENCSR000ENL	DNase-seq	CL:0000706	choroid plexus epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-14	ENCODE				2							ENCFF001DBL	2114137	John Stamatoyannopoulos, UW	3d148cfadc452c9943f33ba4d637b3e8		https://www.encodeproject.org/files/ENCFF001WIG/@@download/ENCFF001WIG.bed.gz	hg19			archived	low read depth			
ENCFF001WIF	bed narrowPeak	peaks	ENCSR000ENL	DNase-seq	CL:0000706	choroid plexus epithelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-14	ENCODE				1							ENCFF001DBI	2403755	John Stamatoyannopoulos, UW	41b89e34c01c4a73e90b73634dfb8e02		https://www.encodeproject.org/files/ENCFF001WIF/@@download/ENCFF001WIF.bed.gz	hg19			archived	low read depth			
